,Sine True,Sine Predicted,Cosine True,Cosine Predicted
261,-0.105,-0.017,0.995,0.016
262,-0.104,-0.011,0.995,0.011
263,-0.104,-0.005,0.995,0.017
264,-0.103,-0.012,0.995,0.004
265,-0.102,-0.005,0.995,0.009
266,-0.101,0.0,0.995,0.012
267,-0.1,0.002,0.995,0.005
268,-0.1,-0.002,0.995,0.0
269,-0.1,0.002,0.995,-0.004
270,-0.099,0.001,0.995,-0.002
271,-0.098,-0.008,0.995,0.008
272,-0.096,-0.009,0.995,0.006
273,-0.094,-0.007,0.996,0.005
274,-0.092,0.006,0.996,-0.002
275,-0.091,0.001,0.996,-0.008
276,-0.089,-0.007,0.996,0.014
277,-0.085,-0.005,0.996,0.015
278,-0.083,-0.007,0.997,0.013
279,-0.078,0.003,0.997,0.021
280,-0.075,-0.002,0.997,0.03
281,-0.074,-0.004,0.997,0.018
282,-0.071,-0.004,0.997,0.016
283,-0.068,-0.02,0.998,0.03
284,-0.064,-0.0,0.998,0.03
285,-0.06,-0.001,0.998,0.04
286,-0.058,-0.014,0.998,0.031
287,-0.054,0.001,0.999,0.021
288,-0.05,-0.008,0.999,0.026
289,-0.047,-0.009,0.999,0.028
290,-0.042,-0.01,0.999,0.022
291,-0.037,-0.014,0.999,0.034
292,-0.032,0.004,0.999,0.022
293,-0.027,-0.008,1.0,0.032
294,-0.023,-0.006,1.0,0.023
295,-0.021,-0.015,1.0,0.026
296,-0.014,-0.008,1.0,0.027
297,-0.009,-0.016,1.0,0.033
298,-0.003,-0.006,1.0,0.03
299,-0.001,-0.005,1.0,0.022
300,0.0,-0.002,1.0,0.013
301,0.001,-0.007,1.0,0.019
302,0.005,0.001,1.0,0.001
303,0.006,-0.003,1.0,0.009
304,0.011,-0.006,1.0,0.012
305,0.018,-0.004,1.0,0.013
306,0.02,0.007,1.0,0.012
307,0.022,0.001,1.0,-0.008
308,0.029,-0.006,1.0,0.008
309,0.034,-0.01,0.999,0.015
310,0.035,-0.001,0.999,0.004
311,0.035,-0.001,0.999,0.014
312,0.04,-0.002,0.999,0.015
313,0.042,-0.008,0.999,0.02
314,0.049,-0.004,0.999,0.015
315,0.05,-0.001,0.999,0.01
316,0.053,-0.0,0.999,0.014
317,0.059,-0.0,0.998,0.028
318,0.061,-0.012,0.998,0.021
319,0.062,-0.004,0.998,0.005
320,0.067,-0.008,0.998,0.017
321,0.071,-0.004,0.998,0.024
322,0.073,-0.01,0.997,0.023
323,0.076,-0.018,0.997,0.017
324,0.082,-0.012,0.997,0.027
325,0.087,-0.017,0.996,0.026
326,0.092,-0.011,0.996,0.022
327,0.098,-0.008,0.995,0.026
328,0.104,-0.007,0.995,0.025
329,0.106,0.0,0.994,0.016
330,0.108,-0.002,0.994,0.013
331,0.11,0.0,0.994,0.011
332,0.112,-0.001,0.994,0.009
333,0.115,-0.007,0.993,0.007
334,0.116,-0.008,0.993,0.013
335,0.123,-0.005,0.992,0.023
336,0.127,-0.004,0.992,0.025
337,0.129,-0.008,0.992,0.0
338,0.132,0.007,0.991,0.012
339,0.136,-0.012,0.991,0.019
340,0.138,-0.01,0.99,0.013
341,0.141,-0.009,0.99,0.012
342,0.142,-0.008,0.99,0.017
343,0.148,-0.006,0.989,0.006
344,0.15,-0.01,0.989,0.008
345,0.154,-0.003,0.988,0.016
346,0.157,0.001,0.988,-0.001
347,0.163,-0.009,0.987,0.016
348,0.167,-0.001,0.986,0.015
349,0.169,0.001,0.986,0.014
350,0.174,-0.004,0.985,0.021
351,0.181,-0.005,0.984,0.031
352,0.184,-0.005,0.983,0.018
353,0.187,0.006,0.982,0.024
354,0.189,-0.004,0.982,0.02
355,0.192,-0.005,0.981,0.016
356,0.195,-0.018,0.981,0.016
357,0.197,-0.005,0.98,0.023
358,0.201,-0.009,0.98,0.013
359,0.203,0.002,0.979,0.002
360,0.207,-0.006,0.978,0.006
361,0.21,0.01,0.978,0.004
362,0.213,-0.002,0.977,-0.009
363,0.214,-0.001,0.977,-0.005
364,0.218,-0.013,0.976,0.013
365,0.221,-0.002,0.975,0.004
366,0.224,-0.013,0.975,0.02
367,0.232,-0.006,0.973,0.045
368,0.239,-0.014,0.971,0.032
369,0.24,0.001,0.971,0.024
370,0.241,-0.002,0.97,0.003
371,0.242,-0.002,0.97,0.007
372,0.248,-0.003,0.969,0.025
373,0.253,-0.014,0.968,0.025
374,0.253,-0.008,0.967,0.011
375,0.256,0.002,0.967,0.007
376,0.257,0.001,0.966,0.009
377,0.26,0.003,0.966,0.005
378,0.261,-0.004,0.965,-0.011
379,0.262,0.002,0.965,-0.003
380,0.266,0.002,0.964,-0.001
381,0.267,-0.002,0.964,-0.003
382,0.277,-0.005,0.961,0.031
383,0.282,-0.007,0.959,0.016
384,0.285,-0.004,0.958,0.01
385,0.291,-0.003,0.957,0.01
386,0.292,-0.009,0.956,0.017
387,0.293,0.004,0.956,0.011
388,0.294,-0.016,0.956,0.02
389,0.297,-0.006,0.955,0.01
390,0.304,0.004,0.953,0.027
391,0.309,-0.008,0.951,0.025
392,0.311,0.002,0.951,0.02
393,0.313,0.002,0.95,-0.002
394,0.315,-0.001,0.949,-0.001
395,0.319,-0.001,0.948,0.01
396,0.321,-0.007,0.947,0.008
397,0.326,-0.01,0.945,0.012
398,0.329,-0.005,0.944,0.01
399,0.332,-0.007,0.943,0.009
