,Sine True,Sine Predicted,Cosine True,Cosine Predicted,Norm True,Norm Predicted
320,0.741,0.01,0.672,-0.019,0.681,0.483
321,0.742,0.008,0.671,-0.011,0.683,0.496
322,0.743,0.005,0.669,-0.007,0.685,0.502
323,0.746,0.006,0.666,-0.014,0.689,0.478
324,0.748,-0.005,0.664,-0.002,0.691,0.473
325,0.749,0.006,0.662,-0.01,0.693,0.52
326,0.75,0.0,0.661,-0.006,0.694,0.486
327,0.753,-0.001,0.659,-0.004,0.697,0.48
328,0.753,0.003,0.658,-0.011,0.697,0.515
329,0.756,0.01,0.654,-0.009,0.7,0.483
330,0.759,0.008,0.651,-0.018,0.702,0.497
331,0.763,0.003,0.646,-0.01,0.705,0.477
332,0.764,-0.0,0.645,-0.009,0.706,0.495
333,0.765,0.007,0.644,-0.011,0.707,0.496
334,0.767,-0.007,0.642,0.002,0.709,0.481
335,0.768,-0.01,0.641,0.002,0.71,0.502
336,0.77,-0.001,0.638,-0.0,0.711,0.493
337,0.772,-0.007,0.635,-0.0,0.714,0.498
338,0.773,-0.006,0.634,-0.014,0.715,0.481
339,0.774,-0.004,0.633,-0.004,0.716,0.532
340,0.775,-0.001,0.632,-0.006,0.72,0.472
341,0.775,-0.021,0.632,0.004,0.721,0.493
342,0.775,-0.006,0.632,-0.003,0.722,0.52
343,0.775,-0.011,0.632,-0.005,0.723,0.503
344,0.776,-0.013,0.631,0.002,0.726,0.471
345,0.776,-0.008,0.631,-0.01,0.727,0.5
346,0.776,0.009,0.631,-0.01,0.731,0.517
347,0.777,0.007,0.63,-0.019,0.736,0.477
348,0.777,0.01,0.629,-0.02,0.739,0.531
349,0.777,0.003,0.629,-0.01,0.742,0.502
350,0.777,0.01,0.629,-0.009,0.744,0.49
351,0.777,0.003,0.629,-0.014,0.746,0.461
352,0.777,0.008,0.629,-0.02,0.749,0.506
353,0.777,0.017,0.63,-0.015,0.756,0.474
354,0.777,-0.001,0.63,-0.014,0.758,0.477
355,0.777,0.016,0.63,-0.026,0.759,0.488
356,0.776,0.014,0.631,-0.01,0.764,0.479
357,0.776,0.007,0.631,-0.018,0.765,0.539
358,0.775,0.008,0.632,-0.019,0.768,0.462
359,0.774,-0.0,0.633,-0.004,0.769,0.463
360,0.774,-0.002,0.633,-0.009,0.771,0.503
361,0.774,-0.016,0.634,-0.004,0.772,0.485
362,0.773,0.011,0.634,-0.014,0.773,0.507
